"ResponseId","UserLanguage","Cry_last","qual_Q","Trigger_cause","Trigger_cause_3_TEXT","Trigger_type","Trigger_type_4_TEXT","Context","context2","context3","intense_tear","intense_time","Zintense_tear","Zintense_time","mood_1","Freq","BACS_1","BACS_2","BACS_3","BACS_4","BACS_5","BACS_6","BACS_7","BACS_8","BACS_9","BACS_10","BACS_11","BACS_12","BACS_13","BACS_14","GES_1","GES_2","GES_3","GES_4","GES_5","TMF_1","TMF_2","TMF_3","TMF_4","TMF_5","TMF_6","ZGES_1","ZGES_2","ZGES_3","ZGES_4","ZGES_5","ZTMF_1","ZTMF_2","ZTMF_3","ZTMF_4","ZTMF_5","ZTMF_6","age","gender","gender_4_TEXT","live","live_6_TEXT","live_time","birth_other","BACS_Help","BACS_social","BACS_Ind","GRE","Cry_intensity","GRE2","TMF","GES"
"R_RFHgKo32bHn3w0F","EN-GB",6,"the experience was due to frustration with myself and the situation, and how i felt unsure about how the future would progress, considering what happened and how that would change the whole social situation",1,,2,,1,,4,1,1,-1.41951075,-0.73869892,4,0.0,2,1,1,1,5,2,2,5,1,3,4,5,1,2,4,3,3,3,2,3,3,4,3,4,4,1.14149975,-0.347461324,-1.311794299,-0.394937304,-0.617737195,-0.739507144,-0.641101309,-0.005727582,-0.735334967,-0.053608445,-0.157669608,18,1,,1,,1,,2.142857143,4.25,1.0,-0.351216312,-1.079104835,-0.3245642232,-0.3888248425,-0.22817329425
"R_2eUT64gPjTcQRJO","EN-GB",4,"My girlfriend and I were forced to break up for an issue that was unreasonable. She sent me a message to apologise to my parents for this and by reading it I started crying. I was in a car during this and I felt a combination of frustration and sadness throughout the whole experience. My parents were there as well and supported me through this.",3,"Both",1,,3,1,4,3,1,0.332559879,-0.73869892,4,0.0,4,2,2,2,3,5,2,2,4,4,4,2,1,3,3,3,4,3,2,3,3,2,3,3,3,-0.251067568,-0.347461324,0.55861097,-0.394937304,-0.617737195,-0.739507144,-0.641101309,-1.272955121,-0.735334967,-0.723336485,-0.648381688,18,1,,1,,5,"Philippines",3.285714286,3.0,1.666666667,-0.528473558,-0.203069521,-0.519547194,-0.7934361189999999,-0.1087138065
"R_sZh6ZVuo1js10fD","EN-GB",6,"The day my highschool girlfriend of two years and I broke up. I was at home alone.",1,,1,,1,,4,3,1,0.332559879,-0.73869892,4,0.0,1,1,3,1,4,5,1,5,1,1,1,5,3,1,3,3,3,3,2,2,4,1,2,2,3,-0.251067568,-0.347461324,-1.311794299,-0.394937304,-0.617737195,-1.357155765,-0.065020417,-1.906568891,-1.401426518,-1.393064526,-0.648381688,18,1,,1,,1,,1.0,4.75,2.333333333,-0.881328681,-0.203069521,-0.9076878300000001,-1.1286029674999998,-0.57631512375
"R_1GCQWZzGqjR98jM","EN-GB",6,"I was at my 18th birthday party, I caught my ex-girlfriend (that i had been with for 2 years) cheating on me with another male. Before hand I was having a good time because all my mates were there with me enjoying themselves. Afterwards I obviously felt very upset and disheartened which lead to my emotions getting the best of me. I was comforted by my dad and my best mates.",1,,1,,5,1,4,2,2,-0.543475436,-0.02089899,5,0.0,2,2,4,5,2,4,1,2,1,2,2,4,5,2,3,3,4,2,3,2,2,3,4,3,2,-0.251067568,-0.347461324,0.55861097,-1.722282979,0.3870703,-1.357155765,-1.217182201,-0.639341352,-0.069243416,-0.723336485,-1.139093767,18,1,,1,,2,"England",1.714285714,3.0,4.666666667,-0.592771235,-0.282187213,-0.6907553887,-0.857558831,-0.44055022525
"R_3Olep3ERv97Fi3a","EN-GB",6,"The last time I cried was during my cousin's funeral.",2,,1,,5,3,4,1,1,-1.41951075,-0.73869892,3,0.0,4,4,1,2,5,5,2,5,2,3,2,3,2,3,2,2,2,2,1,3,2,3,2,2,3,-1.643634886,-1.674941768,-3.182199568,-1.722282979,-1.62254469,-0.739507144,-1.217182201,-0.639341352,-1.401426518,-1.393064526,-0.648381688,18,1,,1,,1,"None",2.857142857,4.5,1.666666667,-1.44404612,-1.079104835,-1.4261962630000002,-1.0064839048333332,-2.0557648002500004
"R_2xV3mOj24j7BTq2","EN-GB",2,"I was at a counselling session, and talking about deeper emotions inside myself that I havenâ€™t necessarily opened up a whole lot and led me to crying because of realising more clearly what had been going on in my emotions. I felt better afterwards as I knew it was a good thing to open up and I was able to learn how to improve how I felt, my Counsellor was there to help me.",1,,4,"Realisation",2,1,2,2,1,-0.543475436,-0.73869892,2,2.0,4,4,2,2,2,3,4,2,3,2,3,2,2,4,3,3,3,3,2,3,2,2,4,2,2,-0.251067568,-0.347461324,-1.311794299,-0.394937304,-0.617737195,-0.739507144,-1.217182201,-1.272955121,-0.069243416,-1.393064526,-1.139093767,18,1,,1,,1,,3.428571429,2.25,2.0,-0.795822169,-0.641087178,-0.813630667,-0.9718410291666667,-0.57631512375
"R_3I4DY25IRMv0Jmf","EN-GB",2,"I was crying about the death of my dog, I was out in public outside the vet.  Before the death, I felt very happy and relaxed.  After the death, I felt very confused, shocked and sad.  I was comforted by my mother and father.",3,"Death of my dog",2,,3,1,4,3,1,0.332559879,-0.73869892,2,1.0,4,4,2,5,2,2,3,1,5,5,4,1,1,4,3,3,3,3,3,4,3,4,4,4,3,-0.251067568,-0.347461324,-1.311794299,-0.394937304,0.3870703,-0.121858522,-0.641101309,-0.005727582,-0.069243416,-0.053608445,-0.648381688,18,1,,1,,1,,4.142857143,1.5,2.666666667,-0.314373741,-0.203069521,-0.3845181457000001,-0.2566534936666667,-0.57631512375
"R_3e8P1C2SxPGwKZw","EN-GB",3,"The last time I cried was during exam period last semester due to being overwhelmed. Beforehand I was quite irritable and afterwards I felt relieved. I was helped by my friends at uni.",1,,2,,2,1,4,2,2,-0.543475436,-0.02089899,2,2.0,4,4,1,5,5,4,5,5,5,5,5,3,1,5,3,4,4,4,2,3,4,5,5,5,3,-0.251067568,0.980019119,0.55861097,0.932408372,-0.617737195,-0.739507144,-0.065020417,0.627886187,0.596848136,0.616119595,-0.648381688,18,1,,1,,1,"-",4.714285714,4.25,2.333333333,0.180925306,-0.282187213,0.26079155620000005,0.06465744483333336,0.55499272325
"R_3oNrCIaelck0lqe","EN-GB",3,"I felt really upset because my brother kept repeating mistakes that had a negative impact on me after I repeatedly warned him not to. Afterwards I was upset with myself as I often don't get angry. I got over within the day",1,,3,,1,,,2,1,-0.543475436,-0.73869892,5,2.0,5,3,4,5,5,5,3,5,3,4,5,5,3,3,2,3,3,3,3,3,2,3,2,3,2,-1.643634886,-0.347461324,-1.311794299,-0.394937304,0.3870703,-0.739507144,-1.217182201,-0.639341352,-1.401426518,-0.723336485,-1.139093767,18,1,,1,,1,,3.714285714,5.0,4.0,-0.833694998,-0.641087178,-0.955771528,-0.9766479111666667,-0.92445695325
"R_3nJJoUto6LAnfwU","EN-GB",5,"Due to an anxiety attack during a night out, was in a very good state beforehand and luckily had a friend to help me out afterwards",2,,2,,2,1,4,1,1,-1.41951075,-0.73869892,7,0.0,2,2,2,2,4,4,2,4,2,2,3,4,2,2,3,3,4,3,2,2,2,2,1,3,2,-0.251067568,-0.347461324,0.55861097,-0.394937304,-0.617737195,-1.357155765,-1.217182201,-1.272955121,-2.06751807,-0.723336485,-1.139093767,19,1,,1,,4,"New Zealand",2.142857143,4.0,2.0,-0.802712166,-1.079104835,-0.8212096635,-1.2962069015,-0.1087138065
"R_1isUWNW9kW81kKj","EN-GB",4,"I cried when I argued with my parents, I was at home, before the argument I was a bit frustrated and after the argument I cried. I hid while I cried so no one comforted or supported me.",1,,2,,1,3,,2,1,-0.543475436,-0.73869892,2,0.0,4,4,2,3,5,4,3,3,2,3,2,2,3,3,4,4,4,4,3,3,2,1,2,3,4,1.14149975,0.980019119,0.55861097,0.932408372,0.3870703,-0.739507144,-1.217182201,-1.906568891,-1.401426518,-0.723336485,-0.157669608,19,1,,1,,2,"Maldives",3.0,3.5,2.666666667,-0.195098394,-0.641087178,-0.25331526359999995,-1.0242818078333333,0.9031345527500001
"R_270ZJuAytURttIN","EN-GB",6,"I was having an existential crisis, preceded by my first ever panic attack.",1,,4,"Loneliness",1,,,2,1,-0.543475436,-0.73869892,5,0.0,1,2,1,1,1,1,1,1,1,1,5,1,1,1,4,4,4,4,1,4,4,4,4,5,3,1.14149975,0.980019119,0.55861097,0.932408372,-1.62254469,-0.121858522,-0.065020417,-0.005727582,-0.069243416,0.616119595,-0.648381688,19,1,,1,,4,"Kenya",1.714285714,1.0,1.0,0.154171045,-0.641087178,0.33184261810000004,-0.04901867166666666,0.9031345527500001
"R_2466Dw6zKrxX6gJ","EN-GB",2,"Last time I cried was because of a breakup, and I was missing the person. It was at home in bed. Before, I was feeling nostalgic and remorseful. Afterwards, I felt lonely and sad.",1,,1,,1,,,2,2,-0.543475436,-0.02089899,4,8.0,2,2,2,3,4,5,2,5,1,2,2,5,2,2,3,4,4,4,2,4,3,2,3,3,3,-0.251067568,0.980019119,0.55861097,0.932408372,-0.617737195,-0.121858522,-0.641101309,-1.272955121,-0.735334967,-0.723336485,-0.648381688,19,1,,1,,1,,1.857142857,4.75,2.333333333,-0.230975854,-0.282187213,-0.1922997199,-0.6904946820000001,0.55499272325
"R_2PCiEgboKDVHHgK","EN-GB",5,"My girlfriend of three years broke up with me just before my birthday. I was at home for two weeks afterwards. I was very distraught for around a week after it happened, but my friends and family helped me get through it.",1,,1,,4,1,4,4,6,1.208595193,2.850300731,3,0.0,4,5,2,2,5,4,4,5,4,3,5,4,2,4,2,2,4,3,1,3,2,4,3,3,3,-1.643634886,-1.674941768,0.55861097,-0.394937304,-1.62254469,-0.739507144,-1.217182201,-0.005727582,-0.735334967,-0.723336485,-0.648381688,19,1,,1,,5,"South Africa",4.142857143,4.5,2.0,-0.80426525,2.029447962,-0.7224373055,-0.6782450111666667,-0.788725747
"R_1GCDAxrGWcBy8KX","EN-GB",3,"I was at home, alone, watching a pretty emotional Bollywood movie which was about a sweet family with the parents and two kids but the mother is diagnosed with cancer but she doesnâ€™t tell her kids until the final stages. The movie was relatable to my personal life so seeing some of the scenes triggered emotions and memories and I think I cried for solid 8 minutes. Afterwards, I did control myself and calmed down. I reflected and brought positive vibes to myself and got through the whole experience eventually.",2,,1,,1,,,3,2,0.332559879,-0.02089899,2,3.0,4,5,2,2,1,3,5,2,5,5,5,3,1,4,4,4,3,4,4,4,2,5,3,1,1,1.14149975,0.980019119,-1.311794299,0.932408372,1.391877796,-0.121858522,-1.217182201,0.627886187,-0.735334967,-2.062792566,-1.629805847,19,1,,1,,9,"Fiji",4.714285714,2.25,1.666666667,-0.182279743,0.155830444,-0.33969549740000005,-0.8565146526666667,0.4355332355
"R_3GB6Kr4ARptWcTc","EN-GB",3,"just felt lonely",1,,1,,1,3,,2,1,-0.543475436,-0.73869892,1,2.0,5,5,1,1,4,4,4,4,3,5,5,5,1,4,4,4,4,4,4,4,4,4,5,4,4,1.14149975,0.980019119,0.55861097,0.932408372,1.391877796,-0.121858522,-0.065020417,-0.005727582,0.596848136,-0.053608445,-0.157669608,19,1,,1,,1,"n/a",4.428571429,4.25,1.0,0.472489052,-0.641087178,0.38055017730000007,0.03216059366666667,0.9031345527500001
"R_3qqllQvO7Sud2gS","EN-GB",5,"I last cried when I had to talk to my parents at home about getting 4s in all my subjects despite typically getting high grades. Before it I was dreading having to bring it up since they would inevitably ask about it. After it I felt pretty down and frustrated that I should not have let this happen in the first place. My parents reassured me to not feel too bad over it.",1,,1,,3,1,4,2,2,-0.543475436,-0.02089899,3,0.0,4,5,1,1,4,4,2,4,2,4,2,4,1,2,2,3,3,3,3,3,2,3,3,3,4,-1.643634886,-0.347461324,-1.311794299,-0.394937304,0.3870703,-0.739507144,-1.217182201,-0.639341352,-0.735334967,-0.723336485,-0.157669608,20,1,,1,,1,,3.0,4.0,1.0,-0.683920843,-0.282187213,-0.7910199569999999,-0.7020619594999999,-0.92445695325
"R_3nUl3FrqbHHzBe1","EN-GB",5,"I cried last during semester 1 exam block. Mounting stress and anxiety to perform on my three exams combined with 12-hour study days triggered me to have a breakdown. I called my mom and she calmed me down. Afterwards I felt significantly better",1,,4,"Stress, Anxiety and frustration",1,,,4,2,1.208595193,-0.02089899,2,0.0,4,1,2,2,4,5,2,1,3,4,5,4,2,4,3,3,3,3,,2,2,1,3,2,2,-0.251067568,-0.347461324,-1.311794299,-0.394937304,,-1.357155765,-1.217182201,-1.906568891,-0.735334967,-1.393064526,-1.139093767,20,1,,1,,1,,3.285714286,3.5,2.0,-1.005366061,0.593848101,-1.0053660612000002,-1.2914000195,-0.57631512375
"R_pQ1Zh8AEgMANRQZ","EN-GB",6,,1,,1,,3,1,4,1,6,-1.41951075,2.850300731,4,,5,5,1,1,5,3,3,2,3,3,3,4,3,4,2,4,4,3,2,2,2,2,2,,1,-1.643634886,0.980019119,0.55861097,-0.394937304,-0.617737195,-1.357155765,-1.217182201,-1.272955121,-1.401426518,,-1.629805847,20,1,,1,,8,"China",3.714285714,3.5,1.666666667,-0.799620475,0.71539499,,,-0.12498552524999999
"R_2QQciIB6c6BeU1C","EN-GB",3,"Unfortunately, my gran passed away from battling with cancer. This was at her funeral. I had not shed a tear before (even when received the news), however when reading the eulogy, i broke down in tears thinking of her.",1,,1,,5,1,4,1,1,-1.41951075,-0.73869892,2,3.5,4,4,1,2,1,2,3,2,4,3,4,2,1,4,3,4,3,2,1,3,2,5,5,4,5,-0.251067568,0.980019119,-1.311794299,-1.722282979,-1.62254469,-0.739507144,-1.217182201,0.627886187,0.596848136,-0.053608445,0.333042471,20,1,,1,,1,"South Australia",3.714285714,1.75,1.333333333,-0.398199219,-1.079104835,-0.2757646723,-0.07542016599999998,-0.57628143175
"R_3LYIHpJxSzApakr","EN-GB",4,"I was feeling the pressure of settling on what to study at university and had just transferred to a bachelor of science degree this semester. I was undertaking a chemistry course and was attending the first lab prac. About halfway through the 3 hour prac I began to think I had made the wrong decision by switching to science as I was absolutely dreading the content. For the entire semester 1 I had been trying to decide on a new degree and at that moment I completely regretted my decision. After the prac I cried in my car on the way home.",1,,4,"Felt completely lost and like I was wasting valuable time and money.",1,,,3,2,0.332559879,-0.02089899,3,2.0,4,3,1,1,3,2,4,3,4,4,3,2,1,4,2,3,4,3,2,5,5,3,3,3,3,-1.643634886,-0.347461324,0.55861097,-0.394937304,-0.617737195,0.4957901,0.511060475,-0.639341352,-0.735334967,-0.723336485,-0.648381688,20,1,,1,,1,,3.714285714,2.5,1.0,-0.380427605,0.155830444,-0.35669664609999996,-0.28992398616666665,-0.456855636
"R_3ezrmxacBECNTTy","EN-GB",6,"The last time I cried was in June-July of 2017, when I traveled back to the UK (my birthplace). It was brought about by saying goodbye to my grandma at the end of the trip. I got on a bus and waved goodbye, which is when I started to cry. I felt relieved after crying, but the heaviness of saying goodbye to a loved one stuck around for a bit. I didn't need/receive any help from anyone as it was more of a solitary thing I suppose.",1,,1,,1,,,3,2,0.332559879,-0.02089899,2,0.0,4,4,2,3,4,4,5,4,4,4,2,4,1,4,3,4,4,4,3,1,1,4,4,3,2,-0.251067568,0.980019119,0.55861097,0.932408372,0.3870703,-1.974804387,-1.793263093,-0.005727582,-0.069243416,-0.723336485,-1.139093767,20,1,,1,,4,"United Kingdom",3.857142857,4.0,2.0,-0.281675231,0.155830444,-0.34854978369999995,-0.9509114550000001,0.55499272325
"R_2CIXyMrHt7AtDMl","EN-GB",6,"Death of grandparents. Parents there as moral support. Before crying felt emotional and did not know how to react or feel with the situation. After crying, felt relieved and better.",2,,1,,2,1,4,3,2,0.332559879,-0.02089899,2,0.0,4,3,2,2,3,4,2,5,5,5,4,2,4,4,2,2,3,3,2,4,3,5,4,4,5,-1.643634886,-1.674941768,-1.311794299,-0.394937304,-0.617737195,-0.121858522,-0.641101309,0.627886187,-0.069243416,-0.053608445,0.333042471,20,1,,1,,8,"New Zealand",3.857142857,3.5,2.666666667,-0.506175317,0.155830444,-0.4950191291,0.012519494333333334,-1.25632706425
"R_3HwdOD8GGhFkUgP","EN-GB",5,,3,"Family",1,,2,1,4,3,1,0.332559879,-0.73869892,3,3.0,3,4,3,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,3,3,1,3,3,2,2,1.14149975,0.980019119,0.55861097,0.932408372,0.3870703,-0.739507144,-1.793263093,-0.639341352,-0.735334967,-1.393064526,-1.139093767,20,1,,1,,2,"Sri Lanka",3.0,2.0,2.333333333,-0.221817849,-0.203069521,-0.2827066638,-1.0732674748333333,0.9031345527500001
"R_2tCYUZV8SatRrAX","EN-GB",6,"Grandma's funeral
",2,,1,,5,2,4,3,1,0.332559879,-0.73869892,4,0.0,3,4,2,4,4,3,2,4,3,3,2,3,2,2,3,3,3,3,3,1,1,1,2,2,2,-0.251067568,-0.347461324,-1.311794299,-0.394937304,0.3870703,-1.974804387,-1.793263093,-1.906568891,-1.401426518,-1.393064526,-1.139093767,20,1,,1,,1,,2.714285714,3.5,2.666666667,-1.04785558,-0.203069521,-1.1913481677000002,-1.6013701970000003,-0.57631512375
"R_2TSIri4goB6JKxs","EN-GB",2,"I was at home, when I was reading the bible, I realised how mercyful our God is.",1,,1,,1,,,3,2,0.332559879,-0.02089899,5,2.0,2,4,2,3,5,5,4,5,2,4,4,5,1,3,2,2,3,2,2,3,2,3,5,3,3,-1.643634886,-1.674941768,-1.311794299,-1.722282979,-0.617737195,-0.739507144,-1.217182201,-0.639341352,0.596848136,-0.723336485,-0.648381688,21,1,,1,,9,"Singapore",3.285714286,5.0,2.0,-0.940117442,0.155830444,-0.9723554666000002,-0.561816789,-1.588163483
"R_pbdczWPsaEq6hBT","EN-GB",3,"My cat who spent 8 years with me passed away and I was in Australia. Surely, I felt completely sad at the beginning. But after I gained support through my parents, I felt much better.",1,,1,,3,1,4,3,2,0.332559879,-0.02089899,1,1.0,5,4,2,2,1,3,3,1,4,4,4,1,2,3,3,3,3,3,3,2,2,2,2,1,2,-0.251067568,-0.347461324,-1.311794299,-0.394937304,0.3870703,-1.357155765,-1.217182201,-1.272955121,-1.401426518,-2.062792566,-1.139093767,21,1,,1,,8,"Hong Kong",3.857142857,1.5,2.0,-0.94261783,0.155830444,-1.0755866433,-1.408434323,-0.57631512375
"R_ulBxLpmVGIYSJWh","EN-GB",6,"The cause of the crying was being broken up with by a longterm partner. I was in my car driving to work at the time. I felt terrible beforehand and equally as bad afterwards. I was helped by calling my friends and family who all spoke to me and saw me after I finished work.",1,,1,,1,,,4,2,1.208595193,-0.02089899,4,0.0,4,2,2,1,2,2,4,2,3,3,4,1,2,3,4,4,1,4,3,3,2,3,4,3,3,1.14149975,0.980019119,-5.052604837,0.932408372,0.3870703,-0.739507144,-1.217182201,-0.639341352,-0.069243416,-0.723336485,-0.648381688,21,1,,1,,1,,3.285714286,1.75,1.666666667,-0.513509053,0.593848101,-0.6035669881999999,-0.6728320476666666,-0.4996693989999999
"R_3HTAnYst1gB9YjX","EN-GB",6,"Break up",1,,1,,1,3,2,3,2,0.332559879,-0.02089899,3,0.0,4,4,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,3,3,3,3,-1.643634886,-1.674941768,-3.182199568,-0.394937304,0.3870703,-0.121858522,-0.065020417,-0.639341352,-0.735334967,-0.723336485,-0.648381688,21,1,,1,,1,,2.571428571,2.0,2.333333333,-0.85835606,0.155830444,-0.9828986957000001,-0.48887890516666666,-1.7239283815000002
"R_yyAL08POraTc92N","EN-GB",4,"I was at home with my girlfriend intoxicated and she was crying because she thought she had upset me at the party we were at. After comforting her I started crying as I was upset that she was upset but also at the party, I had accidentally broken the Hawaiian lay that she had given me on the first night we met. I felt silly after because it really wasn't something to get worked up over, but my girlfriend was really comforting and reassured me that everything was ok and that I was being silly.",2,,4,"Intoxication",2,1,4,3,1,0.332559879,-0.73869892,2,2.0,4,4,2,3,5,4,3,5,4,3,4,3,2,4,4,4,4,4,2,4,3,2,6,4,2,1.14149975,0.980019119,0.55861097,0.932408372,-0.617737195,-0.121858522,-0.641101309,-1.272955121,1.262939687,-0.053608445,-1.139093767,21,1,,1,,1,,3.714285714,4.25,2.333333333,0.093556685,-0.203069521,0.16468607340000002,-0.3276129128333334,0.9031345527500001
